starttime	seconds	ctime	dtime	ttime	wait
Thu Jul 21 12:34:41 2022	1658381681	1	75	76	67
Thu Jul 21 12:34:41 2022	1658381681	5	487	492	486
Thu Jul 21 12:34:41 2022	1658381681	5	549	554	549
Thu Jul 21 12:34:41 2022	1658381681	5	642	647	642
Thu Jul 21 12:34:41 2022	1658381681	5	810	815	809
Thu Jul 21 12:34:41 2022	1658381681	5	844	849	844
Thu Jul 21 12:34:41 2022	1658381681	5	879	884	878
Thu Jul 21 12:34:41 2022	1658381681	6	880	885	879
Thu Jul 21 12:34:41 2022	1658381681	5	883	888	881
Thu Jul 21 12:34:41 2022	1658381681	5	906	911	905
Thu Jul 21 12:34:41 2022	1658381681	5	915	920	915
Thu Jul 21 12:34:41 2022	1658381681	5	939	944	939
Thu Jul 21 12:34:41 2022	1658381681	6	1009	1015	879
Thu Jul 21 12:34:41 2022	1658381681	5	1016	1021	1015
Thu Jul 21 12:34:41 2022	1658381681	6	1040	1045	1038
Thu Jul 21 12:34:41 2022	1658381681	6	1043	1049	1043
Thu Jul 21 12:34:41 2022	1658381681	5	1084	1089	1083
Thu Jul 21 12:34:41 2022	1658381681	5	1116	1121	1115
Thu Jul 21 12:34:41 2022	1658381681	5	1119	1124	1119
Thu Jul 21 12:34:41 2022	1658381681	5	1128	1133	1126
Thu Jul 21 12:34:41 2022	1658381681	5	1135	1140	1135
Thu Jul 21 12:34:41 2022	1658381681	5	1143	1148	1142
Thu Jul 21 12:34:41 2022	1658381681	5	1143	1148	1142
Thu Jul 21 12:34:41 2022	1658381681	5	1171	1176	1166
Thu Jul 21 12:34:41 2022	1658381681	6	1172	1178	1170
Thu Jul 21 12:34:41 2022	1658381681	5	1182	1187	1181
Thu Jul 21 12:34:41 2022	1658381681	6	1182	1188	1181
Thu Jul 21 12:34:41 2022	1658381681	5	1189	1194	1189
Thu Jul 21 12:34:41 2022	1658381681	5	1194	1199	1193
Thu Jul 21 12:34:41 2022	1658381681	5	1210	1215	1210
Thu Jul 21 12:34:41 2022	1658381681	5	1211	1216	1211
Thu Jul 21 12:34:41 2022	1658381681	5	1217	1222	1217
Thu Jul 21 12:34:41 2022	1658381681	5	1220	1225	1219
Thu Jul 21 12:34:41 2022	1658381681	6	1246	1252	1246
Thu Jul 21 12:34:41 2022	1658381681	5	1256	1261	1255
Thu Jul 21 12:34:41 2022	1658381681	6	1307	1313	1307
Thu Jul 21 12:34:41 2022	1658381681	5	1310	1315	1309
Thu Jul 21 12:34:41 2022	1658381681	5	1313	1319	1313
Thu Jul 21 12:34:41 2022	1658381681	5	1353	1358	1353
Thu Jul 21 12:34:41 2022	1658381681	5	1366	1371	1366
Thu Jul 21 12:34:41 2022	1658381681	5	1373	1378	1373
Thu Jul 21 12:34:41 2022	1658381681	5	1499	1504	1499
Thu Jul 21 12:34:41 2022	1658381681	5	1592	1596	1591
Thu Jul 21 12:34:41 2022	1658381681	5	1616	1621	1615
Thu Jul 21 12:34:41 2022	1658381681	5	1773	1778	1772
Thu Jul 21 12:34:41 2022	1658381681	5	1817	1822	1817
Thu Jul 21 12:34:41 2022	1658381681	5	1819	1824	1818
Thu Jul 21 12:34:41 2022	1658381681	5	1857	1862	1857
Thu Jul 21 12:34:41 2022	1658381681	5	1872	1877	1871
Thu Jul 21 12:34:41 2022	1658381681	4	1874	1878	1873
Thu Jul 21 12:34:41 2022	1658381681	4	1897	1902	1897
Thu Jul 21 12:34:41 2022	1658381681	5	1925	1929	1925
Thu Jul 21 12:34:41 2022	1658381681	5	1959	1964	1958
Thu Jul 21 12:34:41 2022	1658381681	5	2004	2009	2004
