starttime	seconds	ctime	dtime	ttime	wait
Thu Jul 21 12:24:38 2022	1658381078	0	59	59	52
Thu Jul 21 12:24:38 2022	1658381078	5	239	245	239
Thu Jul 21 12:24:38 2022	1658381078	4	359	363	359
Thu Jul 21 12:24:38 2022	1658381078	2	412	414	411
Thu Jul 21 12:24:38 2022	1658381078	2	490	491	489
Thu Jul 21 12:24:38 2022	1658381078	1	518	519	517
Thu Jul 21 12:24:38 2022	1658381078	1	565	567	565
Thu Jul 21 12:24:38 2022	1658381078	3	686	690	685
Thu Jul 21 12:24:38 2022	1658381078	1	728	729	727
Thu Jul 21 12:24:38 2022	1658381078	4	742	746	741
Thu Jul 21 12:24:38 2022	1658381078	4	801	805	800
Thu Jul 21 12:24:38 2022	1658381078	4	802	806	802
Thu Jul 21 12:24:38 2022	1658381078	4	804	808	804
Thu Jul 21 12:24:38 2022	1658381078	4	817	821	817
Thu Jul 21 12:24:38 2022	1658381078	4	834	838	834
Thu Jul 21 12:24:38 2022	1658381078	4	849	854	849
Thu Jul 21 12:24:38 2022	1658381078	2	874	875	873
Thu Jul 21 12:24:38 2022	1658381078	4	918	922	918
Thu Jul 21 12:24:38 2022	1658381078	4	943	947	943
Thu Jul 21 12:24:38 2022	1658381078	5	959	964	959
Thu Jul 21 12:24:38 2022	1658381078	4	1015	1019	1015
Thu Jul 21 12:24:38 2022	1658381078	2	1022	1024	1022
Thu Jul 21 12:24:38 2022	1658381078	3	1066	1069	1065
Thu Jul 21 12:24:38 2022	1658381078	4	1134	1137	1133
Thu Jul 21 12:24:38 2022	1658381078	2	1158	1160	1158
Thu Jul 21 12:24:38 2022	1658381078	2	1161	1163	1160
Thu Jul 21 12:24:38 2022	1658381078	3	1185	1189	1185
Thu Jul 21 12:24:38 2022	1658381078	3	1198	1201	1197
Thu Jul 21 12:24:38 2022	1658381078	4	1233	1237	1232
Thu Jul 21 12:24:38 2022	1658381078	4	1243	1247	1243
Thu Jul 21 12:24:38 2022	1658381078	2	1255	1257	1255
Thu Jul 21 12:24:38 2022	1658381078	4	1288	1292	1288
Thu Jul 21 12:24:38 2022	1658381078	4	1307	1311	1307
Thu Jul 21 12:24:38 2022	1658381078	2	1342	1344	1341
Thu Jul 21 12:24:38 2022	1658381078	2	1344	1346	1344
Thu Jul 21 12:24:38 2022	1658381078	3	1351	1355	1351
Thu Jul 21 12:24:38 2022	1658381078	3	1379	1382	1378
Thu Jul 21 12:24:38 2022	1658381078	2	1389	1391	1388
Thu Jul 21 12:24:38 2022	1658381078	2	1413	1415	1413
Thu Jul 21 12:24:38 2022	1658381078	4	1416	1420	1416
Thu Jul 21 12:24:38 2022	1658381078	4	1428	1432	1428
Thu Jul 21 12:24:38 2022	1658381078	4	1480	1484	1479
Thu Jul 21 12:24:38 2022	1658381078	3	1485	1489	1485
Thu Jul 21 12:24:38 2022	1658381078	2	1513	1515	1512
Thu Jul 21 12:24:38 2022	1658381078	4	1552	1556	1552
Thu Jul 21 12:24:38 2022	1658381078	4	1592	1596	1592
Thu Jul 21 12:24:38 2022	1658381078	4	1654	1658	1654
Thu Jul 21 12:24:38 2022	1658381078	4	1671	1675	1671
Thu Jul 21 12:24:38 2022	1658381078	3	1727	1730	1727
Thu Jul 21 12:24:38 2022	1658381078	3	1748	1751	1748
Thu Jul 21 12:24:38 2022	1658381078	3	1769	1772	1769
Thu Jul 21 12:24:38 2022	1658381078	3	1772	1775	1772
Thu Jul 21 12:24:38 2022	1658381078	3	1780	1783	1780
Thu Jul 21 12:24:38 2022	1658381078	4	1784	1787	1783
